MovieName,Year,IMDbRating,IMDbVotes,Awards,Language,AltText
Fantastic Four,2005,5.7,290149,3 wins & 12 nominations.,English,"fantastic four,fantastic four 2005"
Femme Fatale,2002,6.3,30690,2 wins & 3 nominations.,"English,French,Spanish","femme fatale,femme fatale 2002"
Fida,2004,5.5,1935,N/A,Hindi,"fida,fida 2004"
Field of Lost Shoes,2015,5.8,1354,1 win & 1 nomination.,English,"field of lost shoes,field of lost shoes 2015"
Finding Nemo,2003,8.1,831434,Won 1 Oscar. Another 48 wins & 61 nominations.,English,"finding nemo,finding nemo 2003"
Fix,2008,6.4,834,9 wins & 2 nominations.,English,"fix,fix 2008"
Flypaper,2011,6.4,29426,N/A,English,"flypaper,flypaper 2011"
Food Wars: Shokugeki no Soma,2015,8.3,2971,N/A,"Japanese,English","food wars shokugeki no soma,food wars shokugeki no soma 2015,Food Wars Shokugeki no Soma,foodwarsshokugekinosoma"
Found Footage 3D,2016,5.1,893,7 wins & 3 nominations.,English,"found footage 3d,found footage 3d 2016"
Frankenstein,2011,9,1481,N/A,English,"frankenstein,frankenstein 2011"
Free Fall,2013,7.6,14892,8 wins & 22 nominations.,"German,English","free fall,free fall 2013"
Fresh Meat,2012,5.4,1381,2 nominations.,English,"fresh meat,fresh meat 2012"
Frozen,2010,6.2,60421,2 wins & 5 nominations.,English,"frozen,frozen 2010"
City of God,2002,8.6,607557,Nominated for 4 Oscars. Another 66 wins & 38 nominations.,Portuguese,"city of god,city of god 2002"
Cloudy with a Chance of Love,2015,6.5,641,N/A,English,"cloudy with a chance of love,cloudy with a chance of love 2015"
Cloudy with a Chance of Meatballs,2009,7,177755,Nominated for 1 Golden Globe. Another 1 win & 13 nominations.,"English,French,Russian","cloudy with a chance of meatballs,cloudy with a chance of meatballs 2009"
Coco,2017,8.4,221294,Won 2 Oscars. Another 86 wins & 28 nominations.,"English,Spanish","coco,coco 2017"
Code Blue,2011,5.7,763,3 wins & 5 nominations.,"Dutch,English","code blue,code blue 2011"
Colt 45,2014,5.8,1632,N/A,"French,English","colt 45,colt 45 2014"
Come as You Are,2011,7.4,6363,11 wins & 8 nominations.,"Dutch,Flemish,French,English,Spanish","come as you are,come as you are 2011"
Commando 2,2017,5.2,2132,2 nominations.,Hindi,"commando 2,commando 2 2017"
Concussion,2013,5.7,3542,4 wins & 10 nominations.,English,"concussion,concussion 2013"
Corporate,2017,6.5,507,2 nominations.,"French,English","corporate,corporate 2017"
Crash,2004,7.8,391323,Won 3 Oscars. Another 64 wins & 111 nominations.,"English,Persian,Spanish,Mandarin,Korean","crash,crash 2004"
Crashing,2007,5.6,547,N/A,English,"crashing,crashing 2007"
Crave,2012,5.3,983,4 wins.,English,"crave,crave 2012"
Creep,2004,5.6,25735,N/A,"English,German","creep,creep 2004"
Crossing Over,2009,6.8,21259,1 win.,"English,Korean,Persian,Spanish,Arabic","crossing over,crossing over 2009"
Crush,2013,5.7,4765,N/A,English,"crush,crush 2013"
Dabangg,2010,6.3,24086,18 wins & 8 nominations.,Hindi,"dabangg,dabangg 2010"
Futuro Beach,2014,6,2201,8 wins & 11 nominations.,"Portuguese,German,English","futuro beach,futuro beach 2014"
Gabbar is Back,2015,7.2,20351,N/A,Hindi,"gabbar is back,gabbar is back 2015"
Gang Related,2014,7.6,5749,1 nomination.,English,"gang related,gang related 2014"
Garage Sale Mystery: Guilty Until Proven Innocent,2016,7.3,508,N/A,English,"garage sale mystery guilty until proven innocent,garage sale mystery guilty until proven innocent 2016,Garage Sale Mystery Guilty Until Proven Innocent,garagesalemysteryguiltyuntilproveninnocent"
Garv: Pride and Honour,2004,5.5,2590,1 nomination.,Hindi,"garv pride and honour,garv pride and honour 2004,Garv Pride and Honour,garvprideandhonour"
Get Well Soon,2001,5.2,993,N/A,English,"get well soon,get well soon 2001"
Ghosts,2006,7.4,768,1 win & 2 nominations.,"Mandarin,English","ghosts,ghosts 2006"
Gippi,2013,5.6,666,1 nomination.,Hindi,"gippi,gippi 2013"
Going the Distance,2010,6.3,53617,N/A,English,"going the distance,going the distance 2010"
2 States,2014,6.9,20902,1 win & 21 nominations.,Hindi,"2 states,2 states 2014"
20th Century Women,2016,7.4,28324,Nominated for 1 Oscar. Another 12 wins & 67 nominations.,English,"20th century women,20th century women 2016"
22 Jump Street,2014,7,307258,7 wins & 24 nominations.,English,"22 jump street,22 jump street 2014"
23 Blast,2014,6.4,1459,1 win.,English,"23 blast,23 blast 2014"
23rd March 1931: Shaheed,2002,5.1,540,1 win.,Hindi,"23rd march 1931 shaheed,23rd march 1931 shaheed 2002,23rd March 1931 Shaheed,23rdmarch1931shaheed"
24: India,2013,8.3,2208,1 nomination.,Hindi,"24 india,24 india 2013,24 India,24india"
3 AM: A Paranormal Experience,2014,6.3,621,1 nomination.,Hindi,"3 am a paranormal experience,3 am a paranormal experience 2014,3 AM A Paranormal Experience,3amaparanormalexperience"
